metric,,crps,crps,crps,csi_220,csi_220,csi_220,far_220,far_220,far_220,gridsat_rapsd_l1,gridsat_rapsd_l1,gridsat_rapsd_l1,max_wind_err,max_wind_err,max_wind_err,mslp_err_hpa,mslp_err_hpa,mslp_err_hpa,overall_mse,overall_mse,overall_mse,overall_psnr,overall_psnr,overall_psnr,overall_ssim,overall_ssim,overall_ssim,pod_220,pod_220,pod_220,track_km,track_km,track_km
lead,,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
run_id,description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R4_nath_cascaded_diffusion,Nath et al. — cascaded DDPM (our setting),0.2421555689402989,1.0717689309801377,0.1935934722423553,0.1072225496856422,0.0602824943047648,0.0772128114120317,0.8850682063748844,0.9396196384711024,0.9114292607911708,1.2841380589148577,1.470484477632186,1.3465862607254702,3.172336569603752,3.366746790268842,3.3071083934868084,6.044294108362759,5.892646796563092,7.019917740541346,0.906796050422332,1.6054619480581844,1.3635466905201183,6.467916881336885,4.004544727942523,4.736702820833991,0.1887331828474998,0.0156726280008168,0.1169809214770793,0.7031767625825074,0.9775536809357545,0.4598617246814583,40.90263242698183,99.8622469995536,152.87799582761878
